"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Dallas Cowboys (DAL)","7","5","1","2","1","0","1","3","41.0","13.7","85.0%"
"2","New Orleans Saints (NO)","14","3","2","3","0","0","0","3","39.0","13.0","79.0%"
"3","Miami Dolphins (MIA)","15","2","1","1","1","0","0","3","34.0","11.3","65.3%"
"4","Los Angeles Rams (LAR)","11","3","1","2","0","0","1","3","33.0","11.0","75.0%"
"5","Chicago Bears (CHI)","10","3","2","5","0","1","0","3","30.0","10.0","38.3%"
"6","Pittsburgh Steelers (PIT)","15","3","3","4","0","0","0","3","28.0","9.3","44.6%"
"7","Tennessee Titans (TEN)","9","3","1","3","0","0","0","3","26.0","8.7","39.2%"
"8","Houston Texans (HOU)","5","3","1","1","1","0","1","3","25.0","8.3","6.6%"
"9","Philadelphia Eagles (PHI)","7","3","0","3","1","0","0","3","25.0","8.3","58.0%"
"10","Tampa Bay Buccaneers (TB)","10","1","1","3","0","0","0","3","25.0","8.3","97.9%"
"11","San Francisco 49ers (SF)","10","1","1","3","0","0","0","3","23.0","7.7","83.2%"
"12","Indianapolis Colts (IND)","3","4","0","2","0","1","1","3","23.0","7.7","60.2%"
"13","New York Jets (NYJ)","3","3","2","2","1","0","1","3","23.0","7.7","3.3%"
"14","Buffalo Bills (BUF)","10","3","1","2","0","0","0","3","20.0","6.7","95.3%"
"15","Green Bay Packers (GB)","8","4","0","0","0","0","0","3","19.0","6.3","60.8%"
"16","Kansas City Chiefs (KC)","6","2","3","2","0","0","0","3","18.0","6.0","44.4%"
"17","Seattle Seahawks (SEA)","8","4","0","1","0","0","0","3","16.0","5.3","41.2%"
"18","Minnesota Vikings (MIN)","3","3","3","3","0","0","0","3","16.0","5.3","25.8%"
"19","Baltimore Ravens (BAL)","7","2","1","1","1","0","0","3","15.0","5.0","52.1%"
"20","New England Patriots (NE)","3","4","0","0","0","0","0","3","14.0","4.7","93.7%"
"21","Los Angeles Chargers (LAC)","3","1","2","1","0","0","1","3","14.0","4.7","45.9%"
"22","Denver Broncos (DEN)","5","1","2","1","0","0","0","3","12.0","4.0","49.5%"
"23","Atlanta Falcons (ATL)","1","4","1","0","0","1","0","3","12.0","4.0","5.8%"
"24","Detroit Lions (DET)","6","1","1","1","0","0","0","3","11.0","3.7","1.1%"
"25","Cleveland Browns (CLE)","4","2","1","3","0","0","0","3","11.0","3.7","40.7%"
"26","Cincinnati Bengals (CIN)","4","1","1","2","0","0","0","3","11.0","3.7","14.5%"
"27","New York Giants (NYG)","6","2","1","3","0","0","0","3","10.0","3.3","4.5%"
"28","Las Vegas Raiders (LV)","3","0","0","1","0","0","0","3","9.0","3.0","7.6%"
"29","Arizona Cardinals (ARI)","5","0","2","3","0","0","0","3","8.0","2.7","61.8%"
"30","Washington Football Team (WAS)","7","1","1","1","0","0","0","3","8.0","2.7","24.8%"
"31","Carolina Panthers (CAR)","6","1","0","1","0","0","0","3","7.0","2.3","28.5%"
"32","Jacksonville Jaguars (JAC)","2","1","0","0","0","0","0","3","1.0","0.3","7.2%"
""
""