"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Chris Boswell (PIT)","9","11","81.8","50","0","2","3","3","1","4","4","3","36.0","12.0","50.7%"
"2","Evan McPherson (CIN)","7","8","87.5","58","0","2","2","1","2","9","9","3","35.0","11.7","37.2%"
"3","Daniel Carlson (LV)","7","7","100.0","48","0","1","1","5","0","5","5","3","31.0","10.3","72.4%"
"4","Michael Badgley (IND)","6","8","75.0","46","0","1","1","4","0","7","7","3","29.0","9.7","19.1%"
"5","Jake Elliott (PHI)","6","7","85.7","42","0","2","2","2","0","9","9","3","29.0","9.7","23.2%"
"6","Jason Myers (SEA)","5","6","83.3","51","0","0","3","1","1","10","10","3","28.0","9.3","22.0%"
"7","Brett Maher (NO)","8","8","100.0","42","0","1","4","3","0","0","1","3","27.0","9.0","0.9%"
"8","Riley Patterson (DET)","6","7","85.7","47","0","2","2","2","0","7","7","3","27.0","9.0","0.2%"
"9","Randy Bullock (TEN)","6","6","100.0","44","0","2","2","2","0","7","7","3","27.0","9.0","10.8%"
"10","Mason Crosby (GB)","5","5","100.0","37","0","1","4","0","0","11","11","3","26.0","8.7","41.1%"
"11","Younghoe Koo (ATL)","6","6","100.0","53","0","3","0","2","1","4","4","3","26.0","8.7","40.9%"
"12","Dustin Hopkins (LAC)","5","5","100.0","50","1","1","1","1","1","8","8","3","26.0","8.7","13.9%"
"13","Brandon McManus (DEN)","5","7","71.4","61","0","1","0","1","3","3","3","3","25.0","8.3","45.4%"
"14","Matthew Wright (JAC)","7","7","100.0","45","0","3","2","2","0","2","2","3","25.0","8.3","0.2%"
"15","Matt Prater (ARI)","7","9","77.8","53","0","5","1","0","1","2","3","3","25.0","8.3","52.2%"
"16","Justin Tucker (BAL)","5","5","100.0","46","0","1","2","2","0","7","7","3","24.0","8.0","97.8%"
"17","Matt Gay (LAR)","5","6","83.3","55","0","1","3","0","1","7","7","3","24.0","8.0","89.5%"
"18","Ryan Succop (TB)","6","7","85.7","48","0","2","2","2","0","4","4","3","24.0","8.0","57.5%"
"19","Robbie Gould (SF)","5","5","100.0","48","0","1","3","1","0","8","8","3","24.0","8.0","22.5%"
"20","Eddy Pineiro (NYJ)","4","4","100.0","51","0","2","0","1","1","8","9","3","23.0","7.7","0.2%"
"21","Greg Joseph (MIN)","5","5","100.0","51","0","2","1","1","1","5","5","3","23.0","7.7","68.5%"
"22","Greg Zuerlein (DAL)","3","4","75.0","42","0","2","0","1","0","10","12","3","20.0","6.7","75.5%"
"23","Jason Sanders (MIA)","4","6","66.7","48","0","1","2","1","0","6","6","3","19.0","6.3","22.6%"
"24","Tyler Bass (BUF)","3","3","100.0","34","0","2","1","0","0","10","10","3","19.0","6.3","84.6%"
"25","Cairo Santos (CHI)","4","5","80.0","44","0","1","2","1","0","5","5","3","18.0","6.0","2.1%"
"26","Nick Folk (NE)","2","2","100.0","43","0","1","0","1","0","10","11","3","17.0","5.7","81.7%"
"27","Ka'imi Fairbairn (HOU)","3","4","75.0","52","0","1","0","0","2","4","4","2","17.0","8.5","0.8%"
"28","Graham Gano (NYG)","4","4","100.0","54","0","0","2","1","1","1","1","3","16.0","5.3","31.6%"
"29","Harrison Butker (KC)","3","3","100.0","34","0","0","3","0","0","6","6","2","15.0","7.5","75.7%"
"30","Joey Slye (WAS)","3","3","100.0","55","0","0","2","0","1","3","3","2","14.0","7.0","1.6%"
"31","Elliott Fry (CIN)","3","4","75.0","44","0","0","2","1","0","3","4","1","13.0","13.0","2.4%"
"32","Dominik Eberle (HOU)","2","3","66.7","51","0","1","0","0","1","5","5","1","13.0","13.0","0.0%"
"33","Lirim Hajrullahu (CAR)","3","4","75.0","32","0","2","1","0","0","1","1","2","10.0","5.0","0.2%"
"34","Brian Johnson (WAS)","1","1","100.0","22","0","1","0","0","0","2","2","1","5.0","5.0","6.8%"
"35","Chris Naggar (FA)","1","1","100.0","37","0","0","1","0","0","1","2","1","4.0","4.0","0.1%"
"36","Chase McLaughlin (CLE)","0","1","0.0","0","0","0","0","0","0","4","4","2","4.0","2.0","7.1%"
"37","Aldrick Rosas (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"38","Wil Lutz (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3%"
"39","Sam Ficken (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"40","Zane Gonzalez (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"41","Alex Kessman (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Blake Haubeil (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Michael Palardy (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","33.3%"
"44","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"45","Quinn Nordin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"46","Jose Borregales (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Brandon Wright (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Matt Ammendola (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Chris Blewitt (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"51","Tristan Vizcaino (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"52","Austin Seibert (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"53","Cameron Nizialek (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"55","Jake Verity (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","JJ Molson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Sam Sloman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"72","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Kai Forbath (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"74","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""